sha256,file_identifier,aesthetic_score,captions,class
15b2478afe5e0e075db25b38fec0e991fe3f84ae696f01052d9f5e3c30a37cd0,cat/cat_016/cat_016.blend,6.981494903564453,"[""A whimsical, dark gray robotic creature with a cuboid body, hexagonal head, conical ears, party hat, spikes, rocket-like rear appendages, spherical legs, and a rainbow patch on its side."", ""Dark gray robot with cuboid body, hexagonal head, conical ears, party hat, spikes, rocket appendages, spherical legs, rainbow patch."", ""Cuboid body robot with hexagonal head, conical ears, hat, spikes, rocket appendages, spherical legs, rainbow patch."", ""Gray robot with hexagonal head, conical ears, hat, spikes, appendages, spherical legs, rainbow detail."", ""Robot with cuboid body, hexagonal head, conical ears, hat, spikes, rocket-like appendages, rainbow patch."", ""Robot with hexagonal head, spikes, rocket appendages, rainbow patch, spherical legs."", ""Hexagonal head robot with conical ears, party hat, rocket appendages, rainbow patch."", ""Cuboid robot with party hat, rocket appendages, rainbow patch."", ""Hexagonal head robot with rocket appendages, rainbow patch."", ""Robot with rocket appendages, rainbow patch."", ""Rocket robot with rainbow patch.""]",cat
1cfc1da80154fe454910d55fa7bded46374c4e9de6c108a878363d8de72de6c6,elephant/elephant_040/elephant_040.blend,5.184638977050781,"[""A light blue plush toy resembling a bear with elongated elephantine features, including an oval-shaped head with a slight snout, large floppy ears, small black eyes, a cylindrical body, long cylindrical arms and longer cylindrical legs."", ""Light blue plush toy bear with elongated, elephant-like features and anatomy."", ""Blue toy bear with elongated features resembling an elephant."", ""Light blue plush bear with elephant-style features."", ""Toy bear with elephant-like attributes, in blue."", ""Blue bear plush toy with elephantine features."", ""Bear toy with elongated features, colored blue."", ""Elephantine blue bear plush toy."", ""Blue toy bear with elephant traits."", ""Blue elephant-like bear toy."", ""Blue bear-elephant toy.""]",elephant
1d56803e68e6fc6f4660d814929df9f589cbd699b9200192a6c6673b18428fed,hammer/hammer_005/hammer_005.blend,6.0411224365234375,"[""Detailed gray and gold warhammer with a cylindrical handle, decorative golden elements, and a rectangular hammer head featuring central emblems framed in gold."", ""Gray and gold warhammer with a cylindrical handle and emblematic rectangular head."", ""Warhammer with cylindrical handle and emblemized, rectangular head."", ""Warhammer featuring gray, gold, and emblematic design."", ""Gray, gold warhammer with distinctive emblems."", ""Decorative gold and gray warhammer."", ""Gold-accented, emblemized warhammer."", ""Emblematic gold and gray weapon."", ""Detailed gold and gray hammer."", ""Gray and gold warhammer."", ""Warhammer.""]",hammer
208bd2480bd7f0eb46ec9c196d6cf7fa79b0ba66425ca4d4f6b52c602a20e016,helmet/helmet_005/helmet_005.blend,6.032096862792969,"[""A vertically elongated, metallic grey object with angular segments, a central 'V'-shaped ridge in front, cylindrical side protrusions with lighter caps, a pointed top, smoother back segments, and a concave base."", ""Tall metallic grey object with angular segments, a 'V'-shaped ridge, cylindrical side protrusions, pointed top, concave base."", ""Metallic object with angular segments, 'V'-shaped ridge, side cylinders, pointed top, concave base."", ""Tall grey object with 'V'-ridge, side protrusions, pointed top, concave base."", ""Grey object with angular segments, V-ridge, side cylinders, pointed top."", ""Object with V-ridge, side protrusions, pointed top, concave base."", ""Angular object with V-ridge, side cylinders, pointed peak, base."", ""Object with V-ridge, cylinder sides, pointed peak, base."", ""V-ridged object with side cylinders, pointed top."", ""V-ridged object with cylinders, pointed top."", ""Object with V-ridge, cylinders, top.""]",helmet
22ddf9ea21cda6776598f1143e2f3e6e02ffb18625fcaf65df54eec190a70f59,bottle/bottle_102/bottle_102.blend,5.1224045753479,"[""A weathered, yellow cylindrical object with a central recessed band, semi-spherical top with a metallic grey valve, and texts and symbols in French. The surface displays rust and scratches, indicating extensive use and exposure to elements."", ""Weathered yellow cylinder with central band, grey valve, French text, and signs of rust."", ""Yellow cylindrical object with recessed band, grey valve, and French symbols."", ""Weathered cylinder with a grey valve and French inscriptions."", ""Rusty yellow cylinder with a metallic valve and text."", ""Yellow cylinder with central band and French writing."", ""Weathered cylinder with French text and metal valve."", ""Cylinder with French symbols and noticeable wear."", ""Cylinder with French text and rust."", ""Rusty cylinder with French text."", ""French cylinder, valve, rust.""]",bottle
25d495464b075909068d5e9dfc8fa5b0efb71a90d11a9bceaef836b07ca05cc9,bottle/bottle_011/bottle_011.blend,4.919956207275391,"[""A cylindrical, translucent gray bottle with a flat base, long narrow neck, slightly flared opening, black or dark gray label reading \""BATTY\"" and \""POISON\"" with a bat illustration, smooth texture, and centered label."", ""Translucent gray bottle with flat base, elongated neck, black label reading \""BATTY\"" and \""POISON\"" with bat illustration."", ""Gray bottle, flat base, long neck, black \""BATTY\"" and \""POISON\"" label with bat design."", ""Gray cylindrical bottle with flat base, black label \""BATTY\"", \""POISON\"" and bat sketch."", ""Translucent bottle with flat base, long neck and black bat labelled \""BATTY\"" and \""POISON\""."", ""Cylindrical gray bottle with black label reading \""BATTY\"", \""POISON\"" and a bat."", ""Translucent bottle, long neck, \""BATTY\"", \""POISON\"", bat sketch label."", ""Gray bottle, flat base, \""BATTY\"", \""POISON\"" bat label."", ""Translucent bottle, black \""BATTY\"", \""POISON\"" bat label."", ""Gray \""BATTY\"", \""POISON\"" bat labelled bottle."", ""\""BATTY\"", \""POISON\"" bat bottle.""]",bottle
2760fc488894413a864e59f9b11ec1a16035195bfda5aa1e42a4a492dc607534,cat/cat_049/cat_049.blend,5.804262161254883,"[""Anthropomorphic cartoon-style purple cat character in a T-pose, round head with pointed ears, large oval eyes, small nose, wearing a plain white T-shirt, with cylindrical arms and legs, and white mitten-like hands."", ""Purple, cartoon-style cat in T-pose with round head, pointed ears, large eyes, white T-shirt, cylindrical limbs and mitten hands."", ""Cartoonish purple cat with round head, pointed ears, large eyes, wearing a T-shirt, T-pose, white mittens."", ""T-posed, purple, cartoonish cat with round head, big eyes, wearing white shirt and mitten-like hands."", ""Cartoon cat in T-pose with round head, large eyes, purple color, T-shirt, and white mittens."", ""Purple cartoon cat in T-pose, round head, big eyes, clothed with white shirt, mitten hands."", ""Animated T-posed purple cat, round head, large eyes, white shirt, mitten hands."", ""T-posed purple cat, round head, large eyes, white shirt, white mittens."", ""Cartoon purple cat, T-pose, round head, large eyes, white outfit."", ""T-posed purple cat with white clothes, round-faced."", ""Purple cat, T-pose, white clothing.""]",cat
285e466ac26aff3d94a14b0cda0ca096de16e40006357d3a4b5b7a0ae20e10bf,violin/violin_020/violin_020.blend,4.641023635864258,"[""A traditional violin with a symmetric body, slim neck, ornate pegbox and scroll, four strings, tailpiece, chinrest, bridge, and fingerboard, all in uniform gray color."", ""A traditional, symmetric bodied violin with ornate pegbox and scroll, four strings, gray-toned."", ""Gray, symmetric, traditional violin with ornate scroll and four strings."", ""Traditional violin with ornate pegbox, symmetrical and gray."", ""Gray violin, symmetrical, with ornate pegbox."", ""Traditional, symmetric, gray violin."", ""Ornate, gray, symmetric violin."", ""Symmetric, traditional gray violin."", ""Symmetric, gray violin."", ""Gray, symmetric violin."", ""Gray violin.""]",violin
2a6f5fa22e0b17631a94566d8a2786cd658725202a3263d71a3f0eddd1c54d04,horse/horse_007/horse_007.blend,5.014659404754639,"[""A white pony with large expressive turquoise eyes, pointed ears, and a small smile, featuring a large, voluminous pink mane and tail with darker pink outlines, and three balloons as a cutie mark on its hindquarters."", ""White pony with turquoise eyes, pointed ears, pink mane, tail, and three-balloon cutie mark."", ""Pony with expressive turquoise eyes, pink mane, tail, and three-balloon cutie mark."", ""Expressive-eyed pony with pink mane, tail, and ballooned cutie mark."", ""White pony with turquoise eyes, pink mane, and balloons."", ""Pony with turquoise eyes and balloon cutie mark."", ""White pony with pink mane and balloons."", ""Pony with turquoise eyes and pink mane."", ""Pony with balloon cutie mark."", ""Pony with pink mane."", ""Pony with balloons.""]",horse
2c26afcbfd5ada331378dd002f66617dd63bdea0423d5f039228bd6c8fe5c545,mushroom/mushroom_018/mushroom_018.blend,6.852278709411621,"[""Low-poly pink dome-shaped mushroom with faceted surface, small raised white spots on the cap, and a light grey cylindrical faceted stem."", ""Low-poly pink dome mushroom with white spots and grey cylindrical stem."", ""Pink low-poly mushroom with grey stem and white spots."", ""Pink mushroom with grey stem, white spotted."", ""Dome-shaped pink mushroom with white spots."", ""Pink and grey faceted mushroom."", ""Spotted, pink, and grey mushroom."", ""Pink mushroom with spots."", ""Spotted pink mushroom."", ""Pink mushroom."", ""Mushroom.""]",mushroom
